time,k,model,infolder,seed,result_folder,n_folds,top_100_percent,top_90_percent,top_80_percent,top_70_percent,top_60_percent,top_50_percent,top_40_percent,top_30_percent,top_20_percent,top_10_percent,10_better_100,top_100_percentT,top_90_percentT,top_80_percentT,top_70_percentT,top_60_percentT,top_50_percentT,top_40_percentT,top_30_percentT,top_20_percentT,top_10_percentT,10_better_100T,top_100_percentB,top_90_percentB,top_80_percentB,top_70_percentB,top_60_percentB,top_50_percentB,top_40_percentB,top_30_percentB,top_20_percentB,top_10_percentB,10_better_100B,top_100_f1_score,top_90_f1_score,top_80_f1_score,top_70_f1_score,top_60_f1_score,top_50_f1_score,top_40_f1_score,top_30_f1_score,top_20_f1_score,top_10_f1_score,log_p_train_T,log_p_train_B,log_p_test_T,log_p_test_B,p_train_T,p_train_B,p_test_T,p_test_B,std_log_p_train_T,std_log_p_train_B,std_log_p_test_T,std_log_p_test_B,std_p_train_T,std_p_train_B,std_p_test_T,std_p_test_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:35:01 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,2222,results/152354638133,5,53.56989247,54.81481481,55,56.19047619,57.77777778,58.66666667,61.66666667,62.22222222,56.66666667,66.66666667,TRUE,62.66666667,64.19413919,64.70862471,69.11111111,74.11904762,75.04761905,78.66666667,79.76190476,71.33333333,100,TRUE,44.5,45.2967033,46.18881119,45.60606061,43.56060606,42.33333333,38.57142857,42.66666667,45.33333333,33.33333333,FALSE,0.492753623,0.504065041,0.509090909,0.530612245,0.525,0.537313433,0.530612245,0.540540541,0.518518519,0.545454545,-1407.84309,-1724.326147,-1483.052713,-1761.308208,2.58E-56,1.17E-85,4.48E-96,1.63E-99,895.0180048,993.6675276,984.3117309,1002.862557,4.44E-55,2.03E-84,3.86E-95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:36:34 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,4444,results/152356579169,5,58.90322581,60.74074074,59.16666667,58.0952381,60,61.33333333,58.33333333,57.77777778,53.33333333,53.33333333,FALSE,70.66666667,72.52747253,73.26340326,73.54545455,71.83838384,76.3961039,74.30952381,78.80952381,83.33333333,66.66666667,FALSE,47.25,48.24175824,45.47785548,41.43434343,45.47619048,37.85714286,39.61904762,37.33333333,31.66666667,43.33333333,FALSE,0.537313433,0.547008547,0.524271845,0.488372093,0.5,0.49122807,0.489795918,0.457142857,0.416666667,0.533333333,-2185.810025,-2436.519272,-2239.764009,-2463.615281,3.14E-119,1.59E-279,8.77E-121,2.32E-299,1061.609221,1068.250955,1108.306928,1096.934455,5.44E-118,0,7.55E-120,1.79E-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:38:08 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,3333,results/152356536324,5,49.67741935,51.11111111,53.33333333,56.19047619,53.33333333,53.33333333,51.66666667,51.11111111,53.33333333,46.66666667,FALSE,65.33333333,68.16849817,72.61904762,76.63908314,76.12698413,75.95238095,83.14285714,90,100,100,TRUE,34.16666667,35.01831502,35,38.44172494,34.11616162,31.54761905,23.33333333,22.85714286,21,13.33333333,FALSE,0.40625,0.421052632,0.428571429,0.465116279,0.432432432,0.426229508,0.382978723,0.421052632,0.416666667,0.333333333,-1780.102159,-1986.07765,-1855.717983,-2021.590677,1.83E-107,7.46E-84,2.27E-118,2.06E-100,963.2237554,1054.74717,1021.894531,1073.096541,3.16E-106,9.32E-83,1.95E-117,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:39:42 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,4444,results/152358961736,5,52.98924731,51.11111111,50,51.42857143,55.55555556,58.66666667,56.66666667,60,60,60,TRUE,49.33333333,44.43223443,41.54545455,43.40909091,48.47619048,49.28571429,45.33333333,51.66666667,56.66666667,50,TRUE,56.58333333,57.06227106,57.27472527,58.4957265,61.497669,67.50505051,63.45238095,63.33333333,60,66.66666667,TRUE,0.547770701,0.547945205,0.545454545,0.571428571,0.615384615,0.651685393,0.638888889,0.666666667,0.647058824,0.666666667,-171.7521992,-217.7056148,-231.4942021,-253.0249932,inf,inf,1.30E+170,7.07E+242,325.5289545,473.8400946,293.3499563,433.0622701,nan,nan,inf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:41:16 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,4444,results/152359468838,5,55.5483871,54.81481481,55,55.23809524,58.88888889,58.66666667,56.66666667,60,53.33333333,60,TRUE,58.66666667,60.27106227,59.90675991,61.45454545,66.44444444,70.11904762,66.76190476,75.28571429,71.66666667,90,TRUE,52.33333333,49.08424908,49.45221445,48,50.38888889,49.48412698,43.42857143,39,36.66666667,20,FALSE,0.544217687,0.519685039,0.526315789,0.525252525,0.554216867,0.550724638,0.48,0.5,0.416666667,0.25,-1831.440947,-2156.630373,-1919.468383,-2190.461068,1.02E-122,1.16E-209,3.26E-125,1.93E-244,955.7672722,1025.515931,1063.492387,1057.099265,1.24E-121,0,2.81E-124,3.19E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:42:49 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,4444,results/152356536304,5,56.34408602,55.55555556,55.83333333,58.0952381,62.22222222,65.33333333,63.33333333,60,60,66.66666667,TRUE,66.66666667,66.21245421,69.39194139,69.23232323,69.72222222,69.04761905,70,70,60,75,TRUE,46.41666667,43.45421245,42.22077922,44.58585859,48.22222222,46.94444444,46.66666667,44,46.66666667,60,TRUE,0.514705882,0.5,0.475247525,0.511111111,0.564102564,0.59375,0.620689655,0.608695652,0.625,0.736842105,-513.21007,-570.992991,-517.2107201,-582.4794784,1.39E-27,2.51E-17,6.91E-27,3.88E-16,287.894761,463.957479,288.5877503,494.2461248,1.81E-26,2.79E-16,5.94E-26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:44:23 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,4444,results/152359875031,5,59.56989247,60,56.66666667,59.04761905,62.22222222,60,60,55.55555556,56.66666667,46.66666667,FALSE,65.33333333,65.06227106,60.80885781,61.87878788,61.62337662,61.11111111,63.80952381,59.33333333,48.33333333,100,TRUE,53.66666667,52.78388278,50.49117549,52.47940948,55.79220779,53.17460317,52.57142857,48,44,30,FALSE,0.573426573,0.564516129,0.551724138,0.582524272,0.613636364,0.583333333,0.586206897,0.565217391,0.580645161,0.5,-1966.241494,-2237.721738,-2049.12072,-2271.930624,1.21E-113,4.80E-191,1.18E-133,1.22E-188,942.3528495,1059.742626,958.2441851,991.0768027,2.09E-112,0,1.02E-132,3.31E-149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:45:55 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,4444,results/152360837292,5,52.30107527,53.33333333,53.33333333,51.42857143,47.77777778,46.66666667,46.66666667,51.11111111,53.33333333,60,TRUE,58.66666667,59.56043956,61.25874126,63.44522145,58.83116883,58.6984127,63.66666667,78.66666667,85,100,TRUE,45.75,47.03296703,46.15384615,36.98484848,36.31168831,35.38888889,34.96031746,36.66666667,35,30,FALSE,0.492957746,0.496,0.5,0.43956044,0.43373494,0.428571429,0.466666667,0.52173913,0.5,0.5,-1593.615193,-1872.589363,-1685.193468,-1899.181838,4.32E-110,2.74E-100,8.75E-118,3.82E-150,864.2446583,975.8906329,953.2592711,964.437393,5.26E-109,4.77E-99,7.52E-117,3.03E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:47:33 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,4444,results/152359505666,5,50.98924731,52.59259259,51.66666667,50.47619048,52.22222222,53.33333333,58.33333333,60,70,66.66666667,TRUE,2.666666667,0,0,0,0,0,0,0,0,0,FALSE,98.66666667,100,100,100,100,100,100,100,100,100,TRUE,0.669642857,0.689320388,0.681318681,0.670886076,0.686131387,0.695652174,0.736842105,0.75,0.823529412,0.8,-496.7536125,-533.020409,-507.930949,-535.2771446,1.74E-27,2.56E-17,3.58E-30,3.69E-16,276.6558101,413.6993984,273.0685408,388.0390968,2.85E-26,2.85E-16,3.08E-29,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:49:15 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,3333,results/15235653630,5,55.74193548,59.25925926,60,60.95238095,57.77777778,56,55,55.55555556,60,46.66666667,FALSE,50.66666667,54.67032967,55.27738928,55.21678322,53.11111111,51.67460317,53.61904762,53.33333333,48.33333333,25,FALSE,61,64.08791209,64.41225441,66.60606061,65.22222222,62.61904762,63.11904762,56.57142857,59.66666667,50,FALSE,0.578616352,0.615384615,0.625,0.630630631,0.612244898,0.592592593,0.584615385,0.6,0.666666667,0.6,203.8354821,197.404835,175.7583787,170.7105981,inf,inf,inf,inf,331.946718,516.6419671,341.1595346,562.0912435,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:50:47 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,4444,results/152360769133,5,57.59139785,57.03703704,59.16666667,59.04761905,54.44444444,60,55,57.77777778,63.33333333,60,TRUE,52,51.20879121,54.54545455,55.81818182,55.33333333,60.35714286,53.61904762,62.66666667,63.33333333,66.66666667,TRUE,63.33333333,62.08791209,63.07692308,61.93939394,54.16666667,57.5,57.23809524,54,57.66666667,60,FALSE,0.6,0.597222222,0.625954198,0.612612613,0.528735632,0.583333333,0.571428571,0.595744681,0.666666667,0.7,68.63535838,43.46856589,57.32128466,-3.514128521,inf,inf,inf,inf,363.8040286,576.1787552,374.3739349,707.887616,nan,nan,nan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:52:19 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,4444,results/152361840488,5,53.59139785,52.59259259,53.33333333,55.23809524,57.77777778,60,55,55.55555556,56.66666667,60,TRUE,68,67.92307692,71.16883117,72.21289821,80.93434343,80.3968254,76,75.95238095,78.33333333,100,TRUE,39.16666667,37.57142857,35.87179487,36.09090909,35.73448773,42.38095238,36.5,31.42857143,33.33333333,30,FALSE,0.461538462,0.448275862,0.44,0.447058824,0.472222222,0.516129032,0.448979592,0.411764706,0.434782609,0.4,-1792.606513,-2046.939953,-1892.963251,-2072.194783,2.89E-107,2.31E-148,1.18E-114,1.51E-235,880.7789794,967.342471,985.625092,952.2594846,4.99E-106,4.02E-147,1.02E-113,4.33E-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:53:51 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,4444,results/152361184658,5,58.30107527,60.74074074,65.83333333,64.76190476,63.33333333,61.33333333,66.66666667,68.88888889,70,66.66666667,TRUE,57.33333333,58.84615385,65.77855478,64.89393939,62.88888889,60.5952381,58.66666667,63,53.33333333,60,TRUE,59.25,62.57142857,65.98734599,64.85625486,65.44444444,61.9047619,72.85714286,74.33333333,80,62.5,TRUE,0.588235294,0.618705036,0.666666667,0.654205607,0.64516129,0.632911392,0.705882353,0.72,0.742857143,0.666666667,-392.5712454,-355.9099688,-396.5079785,-357.148792,8.04E-16,5.00E-11,6.19E-16,5.80E-11,203.2887106,193.736431,204.0797797,193.4782893,6.96E-15,4.75E-10,5.32E-15,4.50E-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:55:24 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,4444,results/152362763417,5,52.25806452,53.33333333,53.33333333,57.14285714,55.55555556,56,53.33333333,55.55555556,60,53.33333333,TRUE,57.33333333,57.83882784,61.22377622,66.44444444,64.57575758,72.50793651,70.5,83.33333333,92,90,TRUE,47.08333333,49.24542125,45.60606061,49.54545455,49.42857143,46.22222222,43.21428571,40,40,30,FALSE,0.5,0.526315789,0.5,0.536082474,0.523809524,0.535211268,0.5,0.523809524,0.571428571,0.461538462,-1407.372855,-1683.711393,-1487.558301,-1715.836458,1.51E-84,1.55E-86,7.31E-113,5.20E-92,841.8999749,983.244971,928.1594275,994.0309349,2.61E-83,2.69E-85,6.29E-112,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:56:58 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,4444,results/152362276763,5,63.65591398,64.44444444,65.83333333,63.80952381,64.44444444,62.66666667,58.33333333,64.44444444,63.33333333,60,FALSE,58.66666667,60.54279054,64.54545455,63.74242424,65.87662338,66.50793651,58.83333333,63.33333333,46.66666667,16.66666667,FALSE,68.66666667,68.73260073,68.02197802,66.3962704,65.51948052,62.22222222,59.04761905,65.33333333,70.33333333,76.66666667,TRUE,0.65408805,0.671232877,0.682170543,0.660714286,0.659574468,0.631578947,0.590163934,0.68,0.717948718,0.727272727,192.7103183,200.551619,164.6568044,124.7756346,inf,inf,inf,inf,307.7921549,444.8324153,309.8513054,639.7370513,nan,nan,nan,3.06E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 22:58:31 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5555,results/152363275932,5,64.94623656,65.18518519,66.66666667,66.66666667,65.55555556,65.33333333,66.66666667,73.33333333,63.33333333,66.66666667,TRUE,65.33333333,66.46520147,71.02097902,70.55555556,68.11688312,69.56349206,73.5,87.14285714,75,83.33333333,TRUE,64.66666667,64.00732601,62.997003,62.22222222,62.38961039,57.53968254,58.57142857,61.33333333,52.66666667,56.66666667,FALSE,0.649006623,0.656934307,0.672131148,0.672897196,0.666666667,0.638888889,0.655172414,0.714285714,0.666666667,0.705882353,-480.2796296,-507.7569941,-484.8543733,-511.8493129,1.71E-27,2.71E-17,1.29E-27,3.72E-16,265.2737177,369.7359354,266.1337274,379.6558368,2.70E-26,3.01E-16,1.11E-26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:00:06 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,5555,results/152364559186,5,54.92473118,53.33333333,55,54.28571429,54.44444444,56,55,60,63.33333333,66.66666667,TRUE,56,54.92673993,58.25407925,58.78787879,61.61111111,59.68253968,59.42857143,72,83.33333333,87.5,TRUE,53.66666667,51.12820513,53.11688312,51.60606061,48.27777778,47.5,46.61904762,46.66666667,48.33333333,50,FALSE,0.546666667,0.533333333,0.55,0.538461538,0.506024096,0.52173913,0.542372881,0.590909091,0.64516129,0.705882353,-1836.17109,-2147.712486,-1924.47363,-2192.091025,1.22E-122,1.22E-165,1.19E-127,5.53E-206,981.3212774,1080.433031,1081.620663,1098.937754,2.11E-121,0,1.03E-126,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:01:43 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5555,results/152364559314,5,46.98924731,48.14814815,48.33333333,48.57142857,48.88888889,52,51.66666667,51.11111111,63.33333333,66.66666667,TRUE,44,46.11721612,45.24475524,43.46464646,43.22222222,42.38095238,36.33333333,26.66666667,31.66666667,50,TRUE,50,50.01465201,51.80652681,54.42424242,54.72222222,60.83333333,63.80952381,61.9047619,77,63.33333333,TRUE,0.487179487,0.5,0.507936508,0.517857143,0.520833333,0.571428571,0.602739726,0.620689655,0.717948718,0.736842105,-175.1366895,-233.9997039,-277.3545489,-275.0505182,inf,inf,inf,inf,452.1184362,642.0591995,433.2980946,595.0610918,nan,nan,nan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:03:18 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,5555,results/152364504535,5,56.90322581,56.2962963,55,55.23809524,55.55555556,56,56.66666667,60,63.33333333,53.33333333,FALSE,56,54.3956044,55.15151515,58.18181818,57.61111111,57.5,58.66666667,53.66666667,63.33333333,33.33333333,FALSE,57.66666667,57.58241758,54.87179487,52,53.83333333,53.21428571,53.0952381,61.47619048,62.66666667,56.66666667,FALSE,0.575163399,0.575539568,0.557377049,0.525252525,0.534883721,0.547945205,0.580645161,0.653846154,0.685714286,0.631578947,-2177.880965,-2539.362262,-2268.207819,-2590.448177,7.95E-131,1.96E-215,2.85E-152,2.67E-212,1152.378884,1248.948436,1249.314023,1257.364247,1.38E-129,0,2.45E-151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:04:54 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,5555,results/152364919439,5,52.96774194,54.07407407,56.66666667,60.95238095,62.22222222,64,65,64.44444444,63.33333333,73.33333333,TRUE,65.33333333,64.9010989,69.98989899,73.88461538,80.95238095,85.80952381,87.55555556,92.14285714,100,100,TRUE,40.66666667,41.82051282,40.45299145,45.71678322,45.18181818,44.05555556,45.95238095,38.66666667,43.33333333,54.16666667,TRUE,0.466165414,0.483333333,0.5,0.559139785,0.585365854,0.584615385,0.588235294,0.578947368,0.592592593,0.75,-1940.173832,-2232.7732,-2017.530103,-2275.927261,2.77E-122,1.05E-184,3.37E-127,1.64E-189,967.9008589,1089.075136,1034.628236,1095.823914,4.77E-121,0,2.90E-126,1.58E-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:06:28 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,5555,results/152365511109,5,52.92473118,54.07407407,55,55.23809524,55.55555556,54.66666667,56.66666667,57.77777778,50,53.33333333,TRUE,58.66666667,60.75091575,61.51981352,61.25252525,61.05555556,59.04761905,59.9047619,65,62,75,TRUE,47.08333333,46.94505495,48.38161838,48.96969697,48.72222222,48.33333333,52.0952381,52,53.33333333,50,TRUE,0.503496503,0.507936508,0.526315789,0.525252525,0.512195122,0.514285714,0.535714286,0.536585366,0.482758621,0.533333333,-1576.758526,-1843.784827,-1679.774252,-1907.535768,3.10E-102,9.19E-95,8.66E-101,1.83E-99,868.9530672,972.6028417,948.7457742,941.6906996,5.36E-101,1.60E-93,7.45E-100,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:08:04 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5555,results/152365416017,5,65.61290323,65.18518519,64.16666667,65.71428571,66.66666667,66.66666667,65,75.55555556,66.66666667,66.66666667,TRUE,70.66666667,71.04395604,70.60606061,70.87878788,72.07142857,75.4047619,72.16666667,83.80952381,75,83.33333333,TRUE,60.75,59.64835165,58.71794872,62.15617716,62.54545455,60.96031746,58.0952381,63.33333333,53.66666667,53.33333333,FALSE,0.638888889,0.635658915,0.638655462,0.666666667,0.680851064,0.675324675,0.631578947,0.744186047,0.6875,0.736842105,85.79732972,65.28510086,81.3503315,54.75498678,inf,inf,inf,inf,362.4730442,549.2140169,361.8841423,568.6081109,nan,nan,nan,3.06E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:09:40 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5555,results/152364602152,5,59.67741935,58.51851852,56.66666667,58.0952381,62.22222222,61.33333333,63.33333333,62.22222222,56.66666667,66.66666667,TRUE,69.33333333,69.94505495,70,71.6969697,74.50793651,77.3015873,77.33333333,77,79.33333333,90,TRUE,50.25,49.08424908,44.74358974,44.60606061,50.22727273,45,47.14285714,51,48.33333333,50,FALSE,0.554744526,0.548387097,0.509433962,0.531914894,0.575,0.53968254,0.576923077,0.564102564,0.48,0.545454545,-399.3185372,-362.2987844,-403.2356087,-363.5007899,4.56E-16,2.71E-17,3.69E-16,3.73E-16,202.8681019,193.4750994,203.3435427,193.1388941,3.97E-15,3.01E-16,3.18E-15,5.32E-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:11:19 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,5555,results/152365937135,5,50.30107527,53.33333333,55,56.19047619,54.44444444,53.33333333,48.33333333,48.88888889,43.33333333,40,FALSE,53.33333333,55.93406593,61.81818182,64.02020202,59.84126984,63.57142857,65.33333333,73.33333333,60,33.33333333,FALSE,47.25,50.87912088,49.1025641,49.24242424,50.93434343,49.68253968,45.42857143,46.78571429,41.33333333,54.16666667,TRUE,0.489795918,0.519083969,0.534482759,0.54,0.549450549,0.567901235,0.523076923,0.530612245,0.484848485,0.526315789,-1784.340529,-2055.598261,-1868.806591,-2079.678274,2.61E-107,1.44E-125,2.03E-124,6.14E-126,929.8339503,1061.48031,1014.652943,1072.960217,4.51E-106,2.04E-124,1.75E-123,6.91E-108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
