time,k,model,infolder,seed,result_folder,n_folds,top_100_percent,top_90_percent,top_80_percent,top_70_percent,top_60_percent,top_50_percent,top_40_percent,top_30_percent,top_20_percent,top_10_percent,10_better_100,top_100_percentT,top_90_percentT,top_80_percentT,top_70_percentT,top_60_percentT,top_50_percentT,top_40_percentT,top_30_percentT,top_20_percentT,top_10_percentT,10_better_100T,top_100_percentB,top_90_percentB,top_80_percentB,top_70_percentB,top_60_percentB,top_50_percentB,top_40_percentB,top_30_percentB,top_20_percentB,top_10_percentB,10_better_100B,top_100_f1_score,top_90_f1_score,top_80_f1_score,top_70_f1_score,top_60_f1_score,top_50_f1_score,top_40_f1_score,top_30_f1_score,top_20_f1_score,top_10_f1_score,log_p_train_T,log_p_train_B,log_p_test_T,log_p_test_B,p_train_T,p_train_B,p_test_T,p_test_B,std_log_p_train_T,std_log_p_train_B,std_log_p_test_T,std_log_p_test_B,std_p_train_T,std_p_train_B,std_p_test_T,std_p_test_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:13:03 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,5555,results/152366713997,5,56.21505376,55.55555556,57.5,59.04761905,60,57.33333333,60,57.77777778,56.66666667,66.66666667,TRUE,58.66666667,59.5970696,62.17948718,64.76767677,68.33333333,67.85714286,81,85.33333333,82,100,TRUE,53.58333333,51.24542125,52.42424242,53.98989899,51.77777778,45.35714286,42.5,40.33333333,40,43.33333333,FALSE,0.554054054,0.53125,0.548672566,0.574257426,0.571428571,0.515151515,0.555555556,0.536585366,0.551724138,0.666666667,-1393.368245,-1714.781293,-1469.306482,-1738.204826,4.89E-92,7.66E-90,1.22E-120,7.98E-109,863.2924109,995.1222933,943.4605507,1016.492732,8.46E-91,1.33E-88,1.05E-119,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:14:39 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,6666,results/152367219479,5,60.88172043,59.25925926,60,61.9047619,63.33333333,58.66666667,56.66666667,57.77777778,56.66666667,66.66666667,TRUE,62.66666667,61.6996337,63.01864802,67.63636364,68.47474747,62.82539683,60.23809524,65.33333333,61.66666667,66.66666667,TRUE,58.91666667,56.57509158,56.25874126,55.63636364,55.9047619,53,52,46.33333333,46.66666667,62.5,TRUE,0.604026846,0.580152672,0.586206897,0.591836735,0.602409639,0.575342466,0.551724138,0.558139535,0.551724138,0.705882353,-2193.180615,-2494.561889,-2288.632613,-2547.465921,1.37E-130,3.26E-302,2.10E-132,0,998.2848846,1089.781446,1064.785117,1081.48955,2.18E-129,0,1.81E-131,3.06E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:16:14 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,6666,results/152366735677,5,66.27956989,66.66666667,66.66666667,67.61904762,65.55555556,64,63.33333333,60,56.66666667,60,FALSE,64,65.38461538,69.02597403,72.72727273,71.5,72.53968254,77.9047619,75,80,80,TRUE,68.66666667,67.8021978,63.41025641,62.11111111,57.5,52.11904762,46.76190476,43,26.66666667,30,FALSE,0.670967742,0.671532847,0.655172414,0.653061224,0.607594937,0.557377049,0.541666667,0.526315789,0.434782609,0.4,-480.279631,-507.7569465,-484.8540933,-511.8490612,1.71E-27,2.71E-17,1.29E-27,3.72E-16,265.2734766,369.7350662,266.1330467,379.6551092,2.69E-26,3.01E-16,1.11E-26,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:17:49 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,6666,results/152367886414,5,52.34408602,52.59259259,53.33333333,53.33333333,52.22222222,57.33333333,58.33333333,55.55555556,60,66.66666667,TRUE,49.33333333,48.82783883,52.48717949,52.16161616,48.97619048,51.9047619,52.95238095,52.66666667,70,100,TRUE,55.33333333,56.93040293,55.75757576,55.45454545,56.7020202,65.27777778,60.66666667,55.33333333,52,46.66666667,FALSE,0.538461538,0.549295775,0.555555556,0.558558559,0.556701031,0.609756098,0.615384615,0.6,0.647058824,0.705882353,-170.4758358,-221.4312284,-244.6607578,-261.0469355,inf,inf,9.50E+161,1.84E+242,331.3508264,482.036211,312.4143863,442.8836882,nan,nan,inf,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:19:24 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,6666,results/152368281222,5,56.90322581,56.2962963,55.83333333,58.0952381,56.66666667,56,55,55.55555556,56.66666667,60,TRUE,57.33333333,57.17948718,56.93706294,56.48989899,53.65079365,56.19047619,51.28571429,58.66666667,80,87.5,TRUE,56.33333333,55.71428571,53.6963037,56.69230769,55.47474747,53.94444444,54.02380952,54.66666667,43.33333333,50,FALSE,0.569536424,0.575539568,0.576,0.614035088,0.606060606,0.602409639,0.584615385,0.583333333,0.518518519,0.4,-1829.876985,-2139.833652,-1914.258914,-2189.365011,1.43E-112,9.03E-242,7.70E-117,4.95E-260,901.547591,948.5701578,985.2362633,964.1395322,2.44E-111,0,6.63E-116,1.11E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:21:01 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5555,results/152365571549,5,52.96774194,54.07407407,56.66666667,57.14285714,57.77777778,60,63.33333333,66.66666667,70,60,TRUE,32,31.57509158,33.05128205,28.48484848,30.44444444,25.71428571,20.66666667,22.66666667,20,20,FALSE,73.5,75.97069597,78.2034632,86.46464646,88.33333333,90,93.80952381,96.66666667,100,100,TRUE,0.612021858,0.62195122,0.648648649,0.661654135,0.666666667,0.705882353,0.744186047,0.769230769,0.8,0.666666667,-436.9085525,-443.9356686,-448.9087308,-428.1072551,4.68E-16,1.30E-07,9.80E-21,1.71E-06,243.7826027,331.7412018,254.6720507,276.8223346,5.28E-15,1.73E-06,8.43E-20,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:22:37 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,5555,results/152366673806,5,55.03225806,57.77777778,59.16666667,60.95238095,58.88888889,57.33333333,56.66666667,60,53.33333333,40,FALSE,49.33333333,52.08791209,54.55011655,54.55011655,51.42857143,53.5,49.76190476,53.66666667,40,25,FALSE,60.83333333,63.40659341,62.64901765,68.54079254,67.09090909,63.57142857,64.26190476,65.57142857,59,43.33333333,FALSE,0.575,0.601398601,0.614173228,0.637168142,0.626262626,0.609756098,0.617647059,0.666666667,0.631578947,0.526315789,206.5064947,196.4961498,178.0540265,161.5714012,inf,inf,inf,inf,352.6094184,543.2825542,359.6405898,599.1924505,nan,nan,nan,1.12E-143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:24:14 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,6666,results/15236858139,5,49.69892473,51.11111111,50.83333333,46.66666667,46.66666667,45.33333333,43.33333333,37.77777778,46.66666667,66.66666667,TRUE,52,55.53113553,52.63636364,46.98989899,44.23809524,45.71428571,44,31.33333333,45.83333333,50,FALSE,47.08333333,47.32600733,49.19413919,44.90909091,44.2020202,43.33333333,43.0952381,38,48.33333333,70,TRUE,0.486486486,0.5,0.520325203,0.481481481,0.489361702,0.467532468,0.484848485,0.461538462,0.578947368,0.761904762,-1954.264931,-2250.344771,-2100.766532,-2285.26021,1.14E-112,3.37E-118,4.28E-138,1.29E-144,995.6346079,1126.265161,1111.275731,1190.62107,1.97E-111,5.87E-117,3.68E-137,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:25:52 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,6666,results/152369193357,5,59.5483871,60.74074074,59.16666667,60.95238095,60,61.33333333,61.66666667,57.77777778,50,53.33333333,FALSE,57.33333333,59.94338994,58.61538462,60.76767677,61.78571429,64.8015873,70.66666667,67.66666667,69,83.33333333,TRUE,61.58333333,60.246337,57.95204795,59.45454545,57.43434343,55.91269841,52.26190476,54,56.66666667,45.83333333,FALSE,0.606451613,0.618705036,0.601626016,0.623853211,0.608695652,0.602739726,0.610169492,0.558139535,0.444444444,0.533333333,-1602.987475,-1920.786,-1694.175424,-1945.272398,1.26E-82,5.15E-138,7.13E-75,7.68E-180,931.1646593,1058.570386,1047.135143,1085.009332,2.18E-81,8.97E-137,6.13E-74,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:27:28 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,6666,results/152368702402,5,66.30107527,66.66666667,65,65.71428571,66.66666667,68,65,73.33333333,73.33333333,86.66666667,TRUE,68,70.25641026,69.24009324,70.87878788,69.02958153,73.69047619,68.16666667,78.80952381,75,100,TRUE,64.58333333,63.52380952,61.69164169,62.15617716,62.73304473,62.46031746,60.95238095,63.33333333,62,83.33333333,TRUE,0.657718121,0.666666667,0.65,0.666666667,0.673913043,0.684210526,0.644067797,0.727272727,0.75,0.9,85.56636765,64.85215122,74.48753754,1.636458844,inf,inf,inf,inf,362.6832228,551.2627205,380.402809,763.9329428,nan,nan,nan,7.65E-159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:29:07 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,6666,results/15236961398,5,53.67741935,55.55555556,54.16666667,56.19047619,56.66666667,58.66666667,56.66666667,60,53.33333333,66.66666667,TRUE,62.66666667,66.61172161,63.71794872,65.34343434,67.18253968,71.4047619,65.14285714,68,73.33333333,100,TRUE,44.66666667,44.76190476,43.22510823,45.63636364,44.37878788,46.93650794,46.14285714,53.33333333,48.33333333,40,FALSE,0.492753623,0.508196721,0.495412844,0.510638298,0.518518519,0.550724638,0.551724138,0.608695652,0.5,0.615384615,-1757.910342,-2031.368226,-1832.209753,-2074.258212,1.52E-120,1.59E-164,2.99E-129,8.84E-160,916.8212348,1059.804898,1001.218877,1083.22548,2.02E-119,0,2.57E-128,3.06E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:30:44 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,6666,results/152368550971,5,55.05376344,53.33333333,54.16666667,52.38095238,53.33333333,49.33333333,48.33333333,48.88888889,43.33333333,66.66666667,TRUE,68,69.38461538,73.08658009,75.5,77.77777778,74.28571429,74,75,76.66666667,100,TRUE,42.5,36.9047619,35.34798535,31.60839161,30.3030303,27,30.47619048,32,28.33333333,30,FALSE,0.484848485,0.452173913,0.444444444,0.418604651,0.4,0.366666667,0.392156863,0.41025641,0.37037037,0.545454545,-399.3185357,-362.2982857,-403.2357736,-363.5005477,4.56E-16,2.71E-17,3.69E-16,3.72E-16,202.8684761,193.4753287,203.3439115,193.1388388,3.97E-15,3.01E-16,3.17E-15,1.58E-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:32:22 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,6666,results/152370575211,5,52.27956989,53.33333333,54.16666667,58.0952381,56.66666667,57.33333333,60,62.22222222,60,60,TRUE,60,62.85714286,65.84848485,71.7979798,72.47619048,77.58730159,76.76190476,82,92,100,TRUE,44.5,44.17582418,45.31135531,47.75757576,45.22727273,43.61111111,47.71428571,49,40,40,FALSE,0.485714286,0.487804878,0.513274336,0.551020408,0.541176471,0.529411765,0.555555556,0.564102564,0.571428571,0.571428571,-1391.470817,-1668.247171,-1463.439658,-1699.986633,4.26E-61,2.60E-68,9.53E-64,1.83E-75,889.1187849,1022.595516,981.232531,1041.456333,7.36E-60,3.80E-67,8.20E-63,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:34:01 2018,6,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,6666,results/152369974307,5,62.34408602,62.96296296,65,63.80952381,63.33333333,69.33333333,71.66666667,71.11111111,70,66.66666667,TRUE,58.66666667,59.89010989,60.59440559,61.02020202,58.91558442,59.05555556,58.73809524,61.14285714,63.33333333,50,FALSE,65.91666667,65.93406593,70.05827506,67.35353535,66.47402597,79.17460317,74.25396825,73.33333333,73.33333333,63.33333333,FALSE,0.636942675,0.642857143,0.666666667,0.648148148,0.64516129,0.716049383,0.738461538,0.723404255,0.709677419,0.736842105,185.733293,199.3719027,165.2918373,159.3638594,inf,inf,inf,inf,310.5636471,460.084944,298.394065,531.0433402,nan,nan,nan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:35:37 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,7777,results/152371145664,5,56.92473118,55.55555556,55.83333333,56.19047619,56.66666667,57.33333333,55,53.33333333,56.66666667,53.33333333,FALSE,70.66666667,69.72161172,73.31468531,75.21212121,75.83333333,76.26190476,74.76190476,73.33333333,79.33333333,80,TRUE,43.25,41.08058608,35.41958042,34.84848485,36,38.5952381,35.52380952,28,33.33333333,33.33333333,FALSE,0.503816794,0.473684211,0.430107527,0.425,0.450704225,0.466666667,0.425531915,0.322580645,0.380952381,0.363636364,-2177.034125,-2442.366238,-2264.507148,-2475.303033,1.08E-136,3.42E-149,6.79E-128,8.10E-205,1089.126395,1200.544299,1175.313328,1198.118865,1.58E-135,5.96E-148,5.84E-127,3.16E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:37:13 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,6666,results/152369223455,5,56.38709677,55.55555556,59.16666667,59.04761905,57.77777778,57.33333333,61.66666667,68.88888889,70,66.66666667,TRUE,44,39.61904762,42.4025974,39.13636364,35.15873016,34.16666667,33.23809524,41.66666667,12.5,0,FALSE,68.58333333,71.69230769,76.15384615,76.75524476,77.83838384,76.98412698,86.83333333,89.5,87.66666667,83.33333333,TRUE,0.611764706,0.615384615,0.647482014,0.661417323,0.660714286,0.659574468,0.708860759,0.787878788,0.816326531,0.8,-397.2673567,-360.7548779,-401.5314642,-362.0975956,5.04E-16,2.70E-17,3.53E-16,3.84E-16,202.2216175,193.1468154,202.8792842,192.5477181,4.43E-15,3.00E-16,3.04E-15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:38:47 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,7777,results/152371944303,5,50.27956989,54.81481481,53.33333333,53.33333333,52.22222222,52,55,60,56.66666667,46.66666667,FALSE,60,64.99267399,65.41591742,65.36441336,62.87878788,56.45238095,68.33333333,66.66666667,72,100,TRUE,40.5,44.46520147,40.27072927,38.37878788,40.65223665,43.8968254,39.16666667,41.5,36,30,FALSE,0.452554745,0.495867769,0.461538462,0.449438202,0.481927711,0.513513514,0.526315789,0.608695652,0.551724138,0.5,-1807.915599,-2112.020691,-1900.045725,-2154.629135,5.32E-122,3.94E-174,8.11E-127,1.51E-176,955.3462454,1062.103086,1045.173508,1068.943535,9.18E-121,0,6.97E-126,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:40:22 2018,4,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,7777,results/152371842235,5,50.30107527,47.40740741,46.66666667,49.52380952,51.11111111,52,48.33333333,48.88888889,56.66666667,60,TRUE,52,47.47252747,47.27272727,51.03030303,48.19047619,49.52380952,37.95238095,30.33333333,30,30,FALSE,48.75,48.02197802,46.1025641,48.36363636,52.42424242,53.97186147,53.95238095,57.9047619,76.66666667,90,TRUE,0.496644295,0.474074074,0.457627119,0.495238095,0.52173913,0.538461538,0.537313433,0.581818182,0.666666667,0.7,-166.381988,-218.6626209,-241.3526629,-243.6106327,inf,inf,inf,inf,439.6991348,621.8298105,408.8403171,557.4424274,nan,nan,nan,3.06E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:41:56 2018,4,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,7777,results/152370696013,5,64.94623656,65.18518519,66.66666667,66.66666667,65.55555556,65.33333333,66.66666667,73.33333333,63.33333333,66.66666667,TRUE,65.33333333,66.46520147,71.02097902,70.55555556,68.11688312,69.56349206,73.5,87.14285714,75,83.33333333,TRUE,64.66666667,64.00732601,62.997003,62.22222222,62.38961039,57.53968254,58.57142857,61.33333333,52.66666667,56.66666667,FALSE,0.649006623,0.656934307,0.672131148,0.672897196,0.666666667,0.638888889,0.655172414,0.714285714,0.666666667,0.705882353,-480.2796301,-507.7563712,-484.85414,-511.8488311,1.71E-27,2.71E-17,1.30E-27,3.72E-16,265.2737403,369.735428,266.1338588,379.6555129,2.70E-26,3.01E-16,1.11E-26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:43:32 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,7777,results/152372491376,5,54.88172043,57.77777778,58.33333333,58.0952381,60,60,61.66666667,64.44444444,63.33333333,66.66666667,TRUE,54.66666667,57.53846154,57.58297258,55.33333333,55.04761905,57.76190476,64.33333333,69.33333333,85,100,TRUE,54.91666667,56.80952381,56.58974359,58.13131313,61.1969697,58.93650794,57.73809524,61.66666667,55,50,FALSE,0.552631579,0.583941606,0.590163934,0.6,0.625,0.634146341,0.646153846,0.652173913,0.64516129,0.666666667,-1606.754355,-1902.590872,-1687.132802,-1926.783364,1.89E-114,6.21E-99,1.17E-128,1.09E-172,899.581732,1036.200717,984.3640603,1072.539854,3.27E-113,1.08E-97,1.00E-127,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:45:09 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,7777,results/15237224435,5,50.23655914,52.59259259,50.83333333,53.33333333,52.22222222,53.33333333,53.33333333,46.66666667,40,60,TRUE,58.66666667,58.57142857,58.02031302,59.77777778,60.55555556,58.41269841,57.78571429,55.33333333,54.66666667,86.66666667,TRUE,41.91666667,46.15384615,43.83449883,46.41414141,46.72222222,49.83333333,54.85714286,50,36.66666667,50,TRUE,0.460431655,0.475409836,0.448598131,0.484210526,0.469135802,0.461538462,0.5,0.428571429,0.357142857,0.571428571,-1961.958475,-2243.902262,-2064.526381,-2284.786842,1.92E-120,6.45E-226,9.21E-131,1.26E-243,965.8145273,1070.958645,1069.493933,1082.060407,3.32E-119,0,7.92E-130,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:46:44 2018,5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,7777,results/152372418638,5,64.96774194,65.92592593,65.83333333,65.71428571,67.77777778,69.33333333,66.66666667,73.33333333,70,73.33333333,TRUE,66.66666667,69.37728938,71.15151515,70.87878788,70.48412698,74.64285714,68.16666667,75.80952381,68.33333333,83.33333333,TRUE,63.25,62.31501832,60.80586081,62.15617716,64.16161616,64.4047619,63.80952381,65.33333333,62,63.33333333,TRUE,0.644295302,0.651515152,0.655462185,0.666666667,0.688172043,0.693333333,0.666666667,0.727272727,0.727272727,0.8,85.79659701,64.74240547,74.58345835,1.306240943,inf,inf,inf,inf,362.4700807,549.9453697,380.0439834,763.1199014,nan,nan,nan,8.57E-157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:48:20 2018,6,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,7777,results/152373213455,5,54.23655914,57.03703704,59.16666667,56.19047619,58.88888889,60,63.33333333,62.22222222,60,60,TRUE,61.33333333,64.54212454,69.3030303,65.61616162,71.16666667,72.26190476,72.83333333,65.33333333,71.66666667,73.33333333,TRUE,47,49.71428571,48.91941392,48.18181818,48.27777778,50.27777778,59.76190476,61.28571429,59,50,TRUE,0.510638298,0.546875,0.566371681,0.54,0.543209877,0.571428571,0.620689655,0.622222222,0.6,0.4,-1787.786012,-2085.12715,-1810.623572,-2114.399189,2.39E-106,3.76E-135,2.22E-104,9.90E-158,983.5643893,1045.208514,1036.779851,1109.852282,4.14E-105,6.55E-134,1.79E-103,2.50E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Apr 22 23:49:56 2018,5,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,7777,results/152372107567,5,60.30107527,60.74074074,63.33333333,61.9047619,62.22222222,61.33333333,65,66.66666667,63.33333333,66.66666667,TRUE,54.66666667,53.51282051,55.08158508,52.94017094,55.55555556,52.77777778,53.5,57.14285714,55,62.5,TRUE,66.16666667,66,70.13986014,66.74242424,68.16666667,65.71428571,64.04761905,65.71428571,64,60,FALSE,0.625,0.634482759,0.661538462,0.649122807,0.645833333,0.641975309,0.676923077,0.693877551,0.702702703,0.736842105,-474.1985023,-502.2887557,-479.2366884,-505.9225978,4.69E-21,4.99E-11,9.78E-21,3.04E-16,266.3442447,370.6327165,267.9087397,380.4495783,6.97E-20,4.74E-10,8.41E-20,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
